[33m[nodemon] 2.0.3[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,json[39m
[32m[nodemon] starting `node index.js`[39m
Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
674: (12:24) 39
675: (12:24) 39
676: (12:24) 39
677: (12:24) 39
678: (12:24) 39
679: (12:24) 39
680: (12:24) 39
681: (12:24) 39
682: (12:24) 39
683: (12:24) 39
684: (12:24) 39
685: (12:24) 39
686: (12:24) 39
687: (12:24) 39
688: (12:24) 39
689: (12:24) 39
690: (12:24) 39
691: (12:24) 39
692: (12:24) 39
693: (12:24) 39
694: (12:24) 39
695: (12:24) 39
696: (12:24) 39
697: (12:24) 39
698: (12:24) 39
699: (12:24) 39
700: (12:24) 39
701: (12:24) 39
702: (12:24) 39
703: (12:24) 39
704: (12:24) 39
705: (12:24) 39
706: (12:24) 39
707: (12:24) 39
708: (12:24) 39
709: (12:24) 39
710: (12:24) 39
711: (12:24) 39
712: (12:24) 39
713: (12:24) 39
714: (12:24) 39
715: (12:24) 39
716: (12:24) 39
717: (12:24) 39
718: (12:24) 39
719: (12:24) 39
720: (12:24) 39
721: (12:24) 39
722: (12:24) 39
723: (12:24) 39
724: (12:24) 39
725: (12:24) 39
726: (12:24) 39
727: (12:24) 39
728: (12:24) 39
729: (12:24) 39
730: (12:24) 39
731: (12:24) 40
732: (12:24) 40
733: (12:24) 40
734: (12:24) 40
735: (12:24) 39
736: (12:24) 39
737: (12:24) 39
738: (12:24) 40
739: (12:24) 39
740: (12:24) 39
741: (12:24) 39
742: (12:24) 39
743: (12:24) 39
744: (12:24) 39
745: (12:24) 39
746: (12:24) 39
747: (12:24) 39
748: (12:24) 39
749: (12:24) 39
750: (12:24) 39
751: (12:24) 39
752: (12:24) 39
753: (12:24) 39
754: (12:24) 39
755: (12:24) 39
756: (12:24) 39
757: (12:24) 39
758: (12:24) 39
759: (12:24) 39
760: (12:24) 40
761: (12:24) 39
762: (12:24) 39
763: (12:24) 39
764: (12:24) 39
765: (12:24) 40
766: (12:24) 39
767: (12:24) 39
768: (12:24) 39
769: (12:24) 39
770: (12:24) 39
771: (12:24) 39
772: (12:24) 39
773: (12:24) 39
774: (12:24) 39
775: (12:24) 39
776: (12:24) 39
777: (12:24) 39
778: (12:24) 39
779: (12:24) 39
780: (12:24) 39
781: (12:24) 39
782: (12:24) 39
783: (12:24) 39
784: (12:24) 39
785: (12:24) 39
786: (12:24) 39
787: (12:24) 39
788: (12:24) 39
789: (12:24) 39
790: (12:24) 39
791: (12:24) 39
792: (12:24) 39
793: (12:24) 39
794: (12:24) 39
795: (12:24) 39
796: (12:24) 39
797: (12:24) 39
798: (12:24) 39
799: (12:24) 39
800: (12:24) 39
801: (12:24) 39
802: (12:24) 39
803: (12:24) 39
804: (12:24) 39
[31m[nodemon] app crashed - waiting for file changes before starting...[39m
[32m[nodemon] restarting child process[39m
[32m[nodemon] starting `node index.js`[39m
[31m[nodemon] app crashed - waiting for file changes before starting...[39m
